Name,Score,Genres,English name,Type,Month Aired,Season,Episodes,Duracion,Rating,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Cowboy Bebop,8.78,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",Cowboy Bebop,TV,Apr,Spring,26,24,R,39,1251960,61971,105808,718161,71513,26678
Cowboy Bebop: Tengoku no Tobira,8.39,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",Cowboy Bebop:The Movie,Movie,Sep,Fall,1,115,R,518,273145,1174,4143,208333,1935,770
Trigun,8.24,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",Trigun,TV,Apr,Spring,26,24,PG,201,558913,12944,29113,343492,25465,13925
Witch Hunter Robin,7.27,"['Action', 'Mystery', 'Police', 'Supernatural', 'Drama', 'Magic']",Witch Hunter Robin,TV,Jul,Summer,26,25,PG,1467,94683,587,4300,46165,5121,5378
Bouken Ou Beet,6.98,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",Beet the Vandel Buster,TV,Sep,Fall,52,23,PG,4369,13224,18,642,7314,766,1108
Eyeshield 21,7.95,"['Action', 'Sports', 'Comedy', 'Shounen']",Eyeshield 21,TV,Apr,Spring,145,23,PG,1003,148259,2066,13907,78349,14228,11573
Hachimitsu to Clover,8.06,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",Honey and Clover,TV,Apr,Spring,24,23,PG,687,214499,4101,11909,81145,11901,11026
Hungry Heart: Wild Striker,7.59,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",Hungry Heart: Wild Striker,TV,Sep,Fall,52,23,PG,3612,20470,231,817,13778,828,1168
Initial D Fourth Stage,8.15,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",Initial D Fourth Stage,TV,Apr,Spring,24,27,PG,1233,117929,979,6082,90967,3053,1356
Monster,8.76,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",Monster,TV,Apr,Spring,74,24,R,169,614100,29436,64648,214491,47488,23008
Naruto,7.91,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",Naruto,TV,Oct,Fall,220,23,PG,8,1830540,65586,137167,1462223,61734,99806
